[2026-08-02T23:20:55.873Z] harvester started — universe: BTC, ETH, HYPE, SOL, PAXG, KAITO, XRP, DOGE
(node:86134) ExperimentalWarning: SQLite is an experimental feature and might change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
[2026-08-02T23:20:56.723Z] connected, watching 8 assets
[2026-08-03T01:01:59.038Z] addresses 4182 (4178 polled) | open 25877 | changes logged 71547 | closures 1259 | polls 13996 | reconnects 2
[2026-08-03T01:02:59.099Z] addresses 4216 (4215 polled) | open 26065 | changes logged 72016 | closures 1267 | polls 14143 | reconnects 2
[2026-08-03T01:03:59.160Z] addresses 4230 (4230 polled) | open 26086 | changes logged 72169 | closures 1269 | polls 14285 | reconnects 2
[2026-08-03T01:04:59.220Z] addresses 4248 (4248 polled) | open 26103 | changes logged 72615 | closures 1283 | polls 14426 | reconnects 2
[2026-08-03T01:05:59.280Z] addresses 4268 (4265 polled) | open 26112 | changes logged 73642 | closures 1293 | polls 14556 | reconnects 2
[2026-08-03T01:06:59.343Z] addresses 4279 (4279 polled) | open 26181 | changes logged 74055 | closures 1298 | polls 14700 | reconnects 2
[2026-08-03T01:07:59.402Z] addresses 4322 (4312 polled) | open 26267 | changes logged 74905 | closures 1310 | polls 14841 | reconnects 2
[2026-08-03T01:08:59.463Z] addresses 4344 (4339 polled) | open 26300 | changes logged 75541 | closures 1313 | polls 14980 | reconnects 2
[2026-08-03T01:09:59.584Z] addresses 4364 (4363 polled) | open 26391 | changes logged 76096 | closures 1333 | polls 15117 | reconnects 2
[2026-08-03T01:10:59.652Z] addresses 4382 (4382 polled) | open 26567 | changes logged 76626 | closures 1341 | polls 15252 | reconnects 2
[2026-08-03T01:11:59.709Z] addresses 4400 (4399 polled) | open 26599 | changes logged 77352 | closures 1353 | polls 15393 | reconnects 2
[2026-08-03T01:12:59.776Z] addresses 4421 (4420 polled) | open 26695 | changes logged 78226 | closures 1362 | polls 15537 | reconnects 2
[2026-08-03T01:13:59.839Z] addresses 4581 (4454 polled) | open 26885 | changes logged 79268 | closures 1374 | polls 15674 | reconnects 2
[2026-08-03T01:14:59.916Z] addresses 4690 (4598 polled) | open 27218 | changes logged 79609 | closures 1374 | polls 15823 | reconnects 2
